PM2.5,PM10,NO,NO2,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI_Bucket
38.84,82.74,9.92,40.59,14.87,0.57,17.4,54.87,6.23,33.9,6.02,1
39.57,84.55,10.16,39.12,12.97,0.59,16.53,50.7,5.89,35.04,5.94,3
44.44,83.57,10.18,35.39,14.36,0.59,22.05,55.83,4.61,29.47,3.52,3
61.84,115.98,8.87,42.21,16.04,0.63,27.55,71.54,4.6,26.91,2.78,1
57.58,109.26,8.88,42.84,15.71,0.74,21.15,53.74,6.36,33.38,4.07,1
55.36,107.88,9.34,37.83,16.47,0.74,17.25,59.62,6.36,31.59,5.29,1
58.41,118.47,10.25,39.01,19.2,0.83,20.01,44.16,6.18,30.87,6.43,1
51.08,100.21,8.07,36.07,22.73,0.68,16.76,48.8,4.42,21.49,2.76,1
41.31,82.13,11.53,34.29,22.81,0.58,13.31,43.11,4.41,22.69,1.81,3
37.72,80.34,9.97,33.87,15.71,0.61,14.81,37.36,4.75,25.05,3.03,3
66.82,71.59,10.05,32.58,13.28,0.65,11.42,37.79,2.98,18.83,2.92,1
36.53,77.41,9.41,34.18,15.87,0.72,10.46,39.81,4.31,25.26,4.05,1
43.64,89.51,7.6,36.84,14.27,0.82,10.05,42.8,8.06,33.32,9.33,3
44.65,87.99,10.73,39.07,15.12,0.81,8.34,40.93,5.34,21.33,6.5,1
40.48,75.97,6.79,32.25,13.03,0.7,14.21,51.0,2.88,12.43,3.1,1
96.83,88.36,11.04,37.91,14.6,0.76,18.61,39.92,2.33,15.71,3.03,1
69.5,125.61,6.26,35.4,18.59,0.76,12.78,60.26,2.82,15.13,2.49,1
70.91,133.01,5.34,37.5,16.11,0.71,13.35,68.38,2.3,17.66,1.8,1
84.08,137.59,8.98,50.36,20.0,0.9,10.47,52.91,3.03,13.06,1.91,1
73.25,145.39,9.81,52.99,16.73,0.86,15.16,55.76,2.84,20.01,5.78,1
91.39,144.06,10.31,54.18,14.78,0.9,16.7,56.56,4.23,31.14,8.15,1
66.49,122.5,7.04,45.7,13.66,0.81,15.0,67.32,3.01,16.61,4.56,1
64.72,121.51,9.05,45.03,13.13,0.82,14.09,60.26,2.95,12.16,3.69,1
70.03,128.64,8.67,37.15,16.99,0.8,14.25,59.62,2.98,13.32,3.83,1
69.44,123.66,7.02,35.14,16.25,0.76,10.97,65.3,4.65,15.59,3.93,1
70.83,125.86,7.22,38.05,13.39,0.8,9.54,63.84,3.29,11.38,2.99,1
70.47,119.15,6.46,37.31,14.3,0.78,12.21,67.63,2.94,9.43,2.43,1
58.07,96.64,6.29,29.67,13.51,0.7,13.2,60.14,2.66,7.83,2.1,1
51.81,85.9,6.0,30.32,13.05,0.72,13.15,48.64,2.62,8.81,2.52,3
69.33,127.59,7.77,40.86,14.4,0.91,16.11,48.33,4.5,20.98,3.9,1
74.79,153.15,2.82,39.18,15.55,0.8,24.61,61.72,4.19,18.64,3.66,1
67.7,149.05,3.04,38.26,14.5,0.77,19.03,59.43,5.13,21.25,4.67,1
48.99,108.63,4.44,37.26,11.86,0.69,22.76,39.78,3.38,24.04,2.35,1
55.7,117.26,8.39,48.48,12.57,1.05,22.48,44.73,5.06,25.71,4.75,1
66.78,140.38,12.01,62.23,16.12,1.19,12.94,54.6,6.26,35.81,6.17,1
69.33,136.56,7.91,50.13,20.13,1.0,8.51,48.7,4.08,22.77,4.66,1
66.12,120.92,2.4,39.48,18.6,0.92,7.88,48.56,3.19,12.58,3.88,1
68.48,119.88,3.5,38.85,18.09,0.77,7.52,42.62,3.11,12.0,3.83,1
68.87,131.11,7.78,48.12,15.3,0.88,8.56,42.31,3.79,16.57,5.63,1
71.38,142.76,8.44,47.26,15.98,0.8,12.3,46.91,4.68,24.39,5.32,1
73.33,143.78,3.67,37.36,16.89,0.59,22.04,56.42,3.5,20.96,2.12,1
59.35,130.67,8.22,49.48,14.23,0.7,24.06,45.37,3.38,19.14,3.48,1
88.14,152.17,16.01,67.71,17.75,1.33,21.88,43.0,6.11,34.41,9.3,1
74.94,148.17,18.07,68.63,20.76,1.4,16.67,51.64,5.42,32.45,6.21,1
130.23,162.0,21.37,73.32,24.14,1.4,16.21,50.01,6.94,38.49,7.58,1
82.05,170.76,10.07,65.66,24.8,1.26,15.01,57.5,4.37,25.14,5.62,1
79.19,156.46,9.99,63.74,25.5,1.14,10.11,47.69,3.89,22.93,4.49,1
76.47,144.94,8.37,56.9,24.11,1.13,8.51,38.5,3.98,21.63,4.73,1
76.08,151.9,8.2,53.18,24.77,0.87,18.35,53.45,4.75,30.55,4.36,1
63.18,129.4,6.1,55.68,17.06,0.85,16.26,47.38,3.96,22.49,4.42,1
68.65,139.18,10.23,60.71,16.52,0.93,14.18,47.22,3.62,21.6,5.69,1
112.35,152.12,12.65,67.12,18.82,1.09,10.66,49.58,3.97,21.46,5.15,1
65.09,132.99,15.07,67.32,17.46,1.1,9.62,41.64,3.61,23.28,4.63,1
68.45,126.76,13.13,62.26,18.74,1.02,8.17,39.55,4.47,23.6,5.0,1
57.7,119.64,10.55,54.46,25.09,0.99,11.25,38.93,4.26,21.07,3.74,1
68.55,135.87,5.81,51.51,22.84,0.92,9.44,51.26,3.16,16.68,3.19,1
77.77,149.51,5.35,46.8,23.34,0.83,10.52,56.84,3.32,16.7,5.07,1
79.18,164.76,10.82,60.89,25.77,1.0,17.34,58.03,4.01,26.54,7.64,1
76.33,160.28,12.4,63.88,23.67,1.05,15.67,52.74,3.5,20.49,6.1,1
73.15,150.95,9.24,63.11,23.17,1.1,12.81,47.04,4.6,25.95,8.02,1
72.41,144.54,8.91,55.39,22.16,1.03,11.62,50.17,3.28,21.34,4.23,1
72.66,141.46,7.08,51.85,19.8,0.98,9.28,52.61,2.43,12.46,2.89,1
77.65,160.44,6.41,53.96,22.57,0.95,10.51,57.35,2.65,11.99,2.85,1
74.08,158.74,7.01,53.36,22.15,1.03,12.71,56.34,2.98,13.68,2.89,1
76.19,162.88,7.06,59.3,24.42,1.04,17.13,55.98,4.21,22.96,6.5,1
74.76,159.96,10.88,64.97,25.98,1.09,17.29,52.03,4.04,27.68,6.66,1
70.48,157.0,12.85,59.98,22.44,1.19,20.89,49.6,4.4,28.97,4.92,1
72.38,141.02,14.16,54.79,23.14,1.16,13.76,48.64,3.82,24.52,5.41,1
70.98,115.26,3.98,37.89,23.39,0.83,7.43,50.02,2.18,9.33,2.17,1
65.1,126.51,5.75,39.7,24.56,0.92,9.12,43.58,3.74,26.83,11.61,1
64.2,128.06,6.13,45.06,22.08,0.87,10.5,45.85,2.99,18.36,4.24,1
65.86,141.85,11.21,55.84,25.42,0.99,13.02,37.53,3.98,30.44,8.02,1
61.1,139.54,10.99,56.03,22.32,0.9,17.29,38.71,3.88,33.75,6.24,1
64.18,143.85,12.5,60.93,27.24,1.0,23.32,45.46,6.07,37.82,10.57,1
68.52,140.77,9.93,56.67,25.79,0.95,13.76,44.16,3.53,27.78,5.37,1
72.01,142.1,5.81,50.74,25.72,0.89,9.28,52.29,2.84,16.9,4.31,1
60.4,117.57,4.36,46.04,19.96,0.71,6.93,47.74,2.48,12.28,4.47,1
67.07,131.41,4.69,42.71,24.15,0.71,9.52,45.11,2.46,12.56,4.5,1
68.8,155.17,12.11,54.52,23.83,0.89,16.47,45.4,4.31,32.98,6.98,1
66.84,155.11,9.3,56.49,24.19,0.91,19.6,52.7,5.18,33.63,8.14,1
69.43,156.79,7.53,55.38,26.28,1.45,13.62,52.9,4.7,27.88,7.51,1
68.84,145.17,6.26,49.3,25.13,0.85,9.02,48.76,3.22,18.63,5.89,1
67.69,149.79,5.49,46.08,23.34,0.84,8.69,50.19,2.79,17.05,3.9,1
59.46,152.71,7.61,51.91,20.35,0.68,16.9,51.92,4.12,29.14,5.56,1
53.45,141.76,14.36,59.99,20.39,1.0,20.33,40.67,5.96,41.6,10.09,1
50.88,129.95,33.83,67.8,24.5,1.1,22.37,36.26,4.76,37.74,6.12,1
47.46,120.39,21.51,68.01,21.65,0.99,16.85,36.32,5.81,41.64,9.58,1
43.48,115.8,6.47,53.31,20.36,0.8,9.51,50.3,4.06,32.65,8.68,1
39.14,105.44,4.91,41.49,22.91,0.73,9.46,54.21,2.54,19.19,4.52,1
41.79,112.02,6.03,43.96,25.26,0.73,8.16,56.47,1.46,5.67,1.65,1
48.86,124.69,13.91,58.09,23.0,0.86,9.68,36.51,4.55,43.34,4.35,1
56.76,135.34,22.03,72.8,24.6,0.99,13.6,39.53,6.4,35.02,7.84,1
46.18,105.04,14.55,59.37,28.79,0.84,13.52,34.55,2.62,16.53,3.39,1
50.05,116.97,14.25,55.81,35.08,0.87,13.92,35.92,2.56,17.15,3.35,1
52.28,119.66,7.15,53.5,37.24,0.82,13.07,29.39,2.59,16.88,3.04,1
50.55,88.76,3.74,28.9,27.82,0.6,8.55,34.88,1.07,4.53,1.49,3
54.34,87.6,3.15,20.55,27.37,0.61,6.61,38.74,0.76,3.46,0.86,1
46.38,85.63,2.89,31.98,54.44,0.61,6.53,44.34,0.98,4.74,1.1,3
50.52,100.95,4.19,44.77,35.31,0.76,8.3,46.28,1.98,9.6,2.19,3
52.88,118.54,6.74,48.93,23.72,0.84,12.88,46.88,2.27,13.04,2.42,1
51.84,116.94,8.45,51.24,20.48,0.81,17.02,41.68,2.14,16.62,2.48,1
49.86,121.32,10.09,60.23,20.36,0.92,20.36,39.46,3.07,22.59,2.83,1
55.87,126.08,10.42,58.63,21.29,1.02,10.27,47.42,2.55,18.56,4.02,1
46.22,112.55,4.17,44.16,20.45,0.77,7.39,53.02,1.28,6.61,1.72,1
47.64,101.62,4.48,41.75,20.08,0.74,6.36,50.85,1.18,10.52,1.86,1
54.76,118.2,5.07,46.91,20.29,0.85,7.37,47.88,1.75,14.68,2.73,1
57.85,131.06,4.83,49.21,18.86,0.88,8.69,46.5,1.9,9.21,2.14,1
56.99,125.93,5.72,48.0,18.56,0.85,8.18,48.94,1.94,10.21,2.22,1
43.57,112.47,4.92,43.62,17.34,0.7,8.22,45.22,1.25,5.75,1.41,1
43.37,105.66,8.22,51.65,18.26,0.76,7.54,33.06,1.63,7.65,2.2,1
56.87,119.73,22.13,65.82,19.58,1.09,9.89,40.48,2.74,16.8,3.72,1
57.66,123.59,20.92,67.65,19.27,1.16,14.95,40.86,3.05,18.83,3.91,1
62.25,139.53,20.73,70.43,22.7,1.3,12.91,41.99,4.03,21.23,3.94,1
54.84,127.04,14.31,65.26,21.27,1.12,11.14,37.91,2.69,19.29,3.4,1
52.72,120.49,10.11,56.01,21.27,1.06,10.18,43.91,2.04,13.08,2.57,1
51.59,122.0,4.25,45.04,23.4,0.88,9.79,53.05,1.62,7.39,1.75,1
54.72,116.74,7.81,49.19,20.81,0.94,9.17,50.33,1.64,9.31,1.92,1
47.44,111.76,4.59,45.37,20.49,0.89,8.88,48.64,1.61,6.32,1.85,1
47.97,104.93,3.86,38.91,19.42,0.74,9.83,56.45,1.33,7.29,1.34,1
50.78,101.89,5.37,43.04,21.37,0.79,7.58,53.66,1.32,6.6,1.67,1
53.81,114.59,6.73,49.93,22.9,0.92,7.22,45.08,1.72,8.25,1.75,1
57.28,120.43,4.89,52.67,21.26,0.96,6.03,45.57,1.61,5.98,1.94,1
66.37,133.3,4.83,49.74,23.5,1.02,7.24,50.9,1.88,7.61,1.72,1
53.02,108.18,2.68,35.56,19.08,0.79,6.94,57.23,1.05,4.32,1.13,1
38.87,96.19,3.74,40.44,17.31,0.67,5.14,44.39,1.13,4.61,1.38,3
39.69,87.82,4.44,41.84,18.14,0.71,5.62,42.72,1.24,5.96,1.41,3
47.34,101.24,5.1,45.05,19.71,0.85,7.43,49.57,1.72,8.45,2.25,1
47.88,103.11,3.96,37.4,19.38,0.77,8.79,48.41,1.04,4.36,1.21,3
60.25,134.44,3.98,39.37,23.84,0.86,14.59,43.99,1.8,11.45,1.92,1
51.0,78.33,3.01,33.36,22.04,0.76,5.86,47.12,1.06,4.57,1.92,1
41.38,71.63,4.13,32.85,19.52,0.7,4.84,37.7,0.81,3.11,0.93,3
48.07,92.55,4.21,41.03,17.35,0.83,5.87,48.04,2.48,4.69,1.37,3
54.74,102.17,5.57,47.03,22.3,0.87,7.01,47.14,1.17,5.22,1.57,1
57.87,118.46,3.95,45.49,20.87,0.89,11.32,45.92,1.53,8.23,1.98,1
57.07,139.34,8.9,52.52,22.99,0.86,13.35,32.33,2.13,12.21,3.12,1
56.64,146.7,13.11,58.35,23.52,1.01,16.25,36.12,3.31,18.45,4.81,1
59.91,149.81,12.22,63.27,25.07,1.05,16.63,39.62,2.93,17.29,4.59,1
71.4,150.7,5.3,49.1,25.92,0.98,10.47,43.09,2.03,10.45,3.08,1
61.47,126.86,3.49,39.51,20.6,0.84,7.69,44.76,1.76,6.16,1.94,1
59.53,124.78,3.6,44.63,18.75,0.79,9.57,50.92,1.63,9.03,1.71,1
53.11,113.07,3.09,40.84,17.08,0.75,9.65,51.24,1.38,6.57,1.85,1
62.27,135.91,4.41,48.19,20.47,0.91,9.33,48.28,2.01,10.48,3.44,1
54.62,114.81,2.56,40.32,20.25,0.81,7.54,45.56,1.5,7.9,2.26,1
50.15,112.36,3.36,41.99,16.41,0.83,7.47,49.61,1.43,6.17,1.5,1
43.05,89.8,3.18,31.47,17.57,0.63,5.79,48.2,0.94,4.01,1.15,1
37.91,75.96,6.94,38.98,14.88,0.72,5.28,44.0,1.25,4.38,2.85,3
51.35,97.31,4.2,40.96,16.65,0.78,5.64,41.0,1.65,6.65,5.55,3
44.94,91.88,4.18,39.39,15.22,0.72,5.82,50.85,1.04,3.64,1.55,1
41.51,86.82,4.05,36.55,14.68,0.67,4.72,43.49,1.33,4.0,1.59,3
46.87,103.01,4.94,42.39,14.83,0.74,5.68,46.02,1.57,6.0,1.82,3
35.9,79.03,7.78,50.76,22.05,0.76,9.13,49.0,1.28,5.57,3.99,3
30.27,61.55,4.55,35.94,21.88,0.67,5.05,44.24,0.85,3.51,2.84,3
40.26,91.86,9.17,41.16,22.13,0.71,6.94,47.22,1.24,4.05,1.46,3
35.54,97.46,6.05,38.69,17.63,0.79,6.42,37.75,1.6,6.17,2.1,3
27.63,72.09,5.0,31.01,16.36,0.68,6.12,31.17,1.19,5.38,1.18,3
31.58,79.04,5.41,42.54,18.9,0.67,7.29,38.29,1.33,6.43,1.53,3
25.24,66.21,4.14,33.9,14.74,0.56,5.19,38.8,1.08,4.83,1.26,3
23.05,58.22,3.65,30.02,14.1,0.69,4.9,40.13,0.6,2.59,0.51,3
29.71,63.54,4.63,31.86,14.46,0.83,5.47,27.82,0.86,4.73,0.89,3
45.86,103.38,8.95,45.36,17.51,0.9,8.34,36.09,2.22,11.57,2.22,3
34.29,90.45,4.8,38.79,13.38,0.72,5.64,41.82,1.18,5.52,1.31,3
37.19,92.25,5.22,35.18,17.25,0.61,9.98,45.82,1.12,6.12,2.46,3
43.52,118.3,11.25,44.05,14.75,0.77,10.51,39.18,1.57,7.6,2.38,1
42.38,120.61,14.73,44.88,14.67,0.86,9.2,37.27,1.71,9.53,4.15,1
49.14,139.55,14.17,51.13,19.44,0.9,10.1,31.15,2.21,15.4,4.97,1
42.97,110.65,4.45,39.3,16.81,0.75,7.55,43.31,1.31,6.62,1.5,1
33.12,80.06,2.99,28.02,15.06,0.56,6.52,49.31,0.62,2.71,0.45,3
33.09,95.19,3.63,35.48,13.69,0.54,6.92,51.74,0.87,5.04,1.36,3
35.61,86.24,2.81,29.59,15.82,0.6,6.07,53.56,0.72,2.68,0.71,1
38.11,92.67,3.23,35.66,13.51,0.62,6.99,52.61,0.96,4.83,0.94,3
39.78,99.47,3.35,35.85,13.68,0.68,7.12,52.49,1.35,7.38,1.44,1
39.85,86.22,2.74,30.66,11.79,0.52,6.84,46.38,0.65,2.33,0.51,3
43.44,95.6,3.02,30.99,12.35,0.59,7.72,49.28,0.89,7.07,0.76,1
44.84,106.84,7.3,39.52,17.29,0.7,9.74,44.31,1.2,7.43,1.59,1
43.83,133.09,2.21,32.08,15.39,0.57,7.94,45.47,1.47,7.29,1.32,1
36.08,95.82,5.67,31.21,15.34,0.7,5.92,48.88,0.88,3.81,0.78,1
31.39,86.12,3.83,27.73,14.98,0.56,5.45,48.87,0.79,3.8,0.51,3
19.59,48.18,4.72,31.67,12.8,0.62,6.1,50.95,0.73,4.95,0.58,3
28.81,68.37,2.77,30.11,11.83,0.6,5.94,51.31,0.6,4.04,0.37,3
31.91,81.65,2.73,28.95,11.68,0.58,6.47,47.6,0.44,2.19,0.25,3
33.68,93.43,2.68,28.72,12.24,0.58,6.91,51.78,0.68,3.61,0.66,3
43.05,110.15,4.18,43.5,17.7,0.97,7.8,46.9,1.47,8.91,1.99,1
44.32,101.87,3.44,37.73,15.48,0.67,6.11,43.87,1.09,6.34,0.93,1
33.83,74.91,3.68,31.53,15.07,0.63,5.28,45.59,0.97,5.2,0.95,1
32.76,80.97,2.6,31.48,13.05,0.66,6.44,50.78,1.14,5.51,1.18,3
33.05,81.54,2.75,31.04,12.1,0.64,5.79,50.32,0.61,3.26,0.95,3
31.85,76.51,2.78,32.48,11.93,0.74,6.11,61.46,0.65,3.29,0.55,1
29.86,67.84,2.42,26.02,12.81,0.64,5.38,56.79,0.5,2.44,0.47,3
24.49,46.54,2.67,24.04,12.94,0.68,4.84,51.51,0.53,2.9,0.49,3
41.89,90.88,1.84,33.42,12.94,0.78,8.26,48.44,0.86,3.35,0.76,3
43.47,103.29,5.47,41.31,16.08,0.9,9.18,39.03,1.0,5.56,0.82,1
37.31,88.67,4.13,35.51,17.26,0.62,6.93,45.12,0.76,5.38,0.88,3
47.42,136.63,4.4,37.25,19.61,0.69,8.04,46.38,1.16,6.38,1.58,1
38.59,106.87,2.41,29.22,12.49,0.62,6.25,62.1,0.83,3.35,0.62,1
48.33,137.04,1.95,32.24,14.11,0.91,6.97,59.66,1.05,3.85,0.63,1
42.68,108.84,1.61,27.06,13.64,0.69,7.04,56.37,0.87,4.3,0.44,1
47.5,122.16,2.07,33.71,14.03,0.83,6.22,52.86,1.31,6.64,1.57,1
36.41,93.09,4.43,32.39,13.99,0.78,6.42,47.17,1.01,4.99,1.7,1
42.17,108.46,2.82,31.54,13.05,0.76,6.99,55.12,1.22,6.48,2.17,1
23.65,67.93,4.09,25.79,11.4,0.69,4.39,36.5,0.68,3.84,0.53,3
26.11,69.28,3.38,26.65,12.52,0.78,6.26,49.07,1.04,8.83,0.69,3
31.17,76.56,2.96,25.45,10.77,0.72,5.77,45.6,1.11,5.24,0.72,3
34.68,91.62,3.27,28.48,12.87,0.64,6.41,46.07,1.06,7.43,1.54,3
31.7,80.59,2.56,26.77,15.8,0.58,6.53,44.57,0.66,4.34,0.66,3
32.57,83.68,2.85,25.25,13.47,0.83,5.81,45.54,0.66,3.49,0.58,3
37.26,77.09,2.92,31.53,18.36,0.64,6.76,52.89,1.24,6.75,2.16,1
36.7,63.45,3.79,35.45,21.33,0.77,6.87,35.35,1.26,8.55,1.79,3
34.85,73.89,3.42,29.14,20.54,0.62,7.11,44.34,0.62,4.88,0.5,3
30.95,64.8,5.15,26.22,17.29,0.56,7.1,57.7,0.74,4.88,1.23,3
31.51,67.42,3.15,30.16,14.27,0.62,7.18,48.4,0.86,5.9,1.45,3
31.33,62.83,2.43,29.59,18.13,0.64,7.06,47.76,1.04,6.2,1.45,3
19.68,25.82,2.91,22.53,15.54,0.61,5.17,47.94,0.42,2.39,0.71,3
19.43,33.87,2.41,22.16,13.75,0.71,6.1,40.15,0.44,2.7,1.78,3
20.03,42.57,2.78,22.16,15.62,0.68,6.84,33.8,0.38,2.65,1.62,3
16.49,32.8,3.39,20.62,15.21,0.64,7.35,22.52,0.27,2.27,0.6,3
22.31,55.94,4.49,23.24,17.96,0.66,8.45,18.82,0.78,4.08,0.7,3
29.92,88.06,6.62,23.7,16.42,0.66,10.11,17.16,0.9,6.5,1.45,3
30.85,89.47,2.88,21.31,18.8,0.6,7.58,19.6,0.46,3.3,0.73,3
34.44,92.58,3.06,23.31,18.51,0.54,8.26,17.53,0.38,3.75,0.5,3
27.83,86.25,2.8,20.05,22.11,0.57,9.66,20.79,0.37,3.67,0.48,3
22.9,63.65,2.23,20.48,12.77,0.6,8.96,22.0,0.26,2.73,0.37,3
21.99,66.18,2.72,20.32,15.69,0.57,9.83,19.71,0.24,2.64,0.31,3
17.2,48.97,2.58,20.17,13.71,0.58,8.6,19.88,0.26,1.95,0.39,3
14.61,29.85,1.97,18.2,8.52,0.53,6.94,23.9,0.2,1.92,0.21,0
15.27,26.79,2.55,21.39,8.28,0.44,6.5,27.49,0.25,2.69,0.22,3
10.31,33.35,1.76,22.02,9.33,0.46,6.21,27.79,0.38,3.91,0.39,3
21.26,45.55,2.2,28.03,13.37,0.49,6.19,25.78,0.94,7.48,1.22,3
20.07,34.46,2.75,23.78,13.84,0.36,6.35,23.59,0.66,5.46,1.61,3
16.99,37.87,3.05,20.56,13.2,0.23,6.42,19.13,0.26,2.86,0.26,0
16.31,41.38,2.77,20.7,10.75,0.27,6.36,17.31,0.23,1.84,0.21,0
16.23,41.54,3.95,23.21,12.73,0.26,5.93,17.5,0.24,1.79,0.19,0
17.64,46.04,4.42,28.07,15.93,0.26,4.6,15.07,0.28,2.36,0.28,0
18.93,50.36,4.19,24.39,12.61,0.28,5.05,17.65,0.32,3.21,0.31,0
18.18,57.2,3.48,22.68,9.63,0.3,5.38,23.37,0.34,3.21,0.29,3
20.85,57.03,6.27,26.4,14.04,0.33,6.64,22.0,0.48,5.26,0.43,3
16.91,39.49,3.41,27.03,14.34,0.3,7.1,25.21,0.38,4.16,0.32,3
16.48,42.25,3.82,24.21,9.17,0.24,5.74,23.96,0.43,3.89,0.29,3
16.28,41.16,3.42,23.43,12.43,0.26,5.56,22.53,0.66,2.87,0.68,3
15.97,58.87,3.7,22.07,10.13,0.35,5.95,21.98,1.11,3.12,1.26,3
13.22,40.07,4.16,22.74,10.6,0.25,6.07,20.08,0.37,3.72,0.31,3
20.05,48.6,4.7,26.0,11.89,0.3,5.06,18.73,1.08,8.65,8.65,0
22.74,51.43,4.4,27.25,22.28,0.34,5.19,18.53,1.04,10.22,9.5,3
19.92,45.9,4.05,25.11,27.07,0.28,5.61,20.17,0.78,4.73,2.41,3
16.63,36.37,4.05,23.21,21.08,0.22,5.45,18.43,0.5,2.8,1.61,0
19.7,44.03,4.15,21.7,13.74,0.25,5.47,16.26,0.37,3.24,0.35,0
19.05,45.74,4.55,23.04,11.45,0.3,4.83,19.91,0.42,4.72,5.29,3
11.93,16.09,4.73,22.14,19.37,0.25,4.96,20.46,0.36,4.2,0.6,0
13.21,26.26,4.5,20.22,10.32,0.27,6.21,15.7,0.39,4.02,0.25,0
17.97,40.97,5.45,26.02,11.15,0.28,6.88,15.88,0.68,4.67,0.69,0
16.12,39.28,5.46,25.58,11.51,0.31,6.66,21.52,0.54,4.5,0.38,3
11.04,20.0,5.27,21.19,17.01,0.37,8.75,16.13,0.52,3.67,0.34,3
12.14,26.59,4.39,20.54,9.09,0.26,6.46,14.86,0.42,2.55,0.27,0
14.13,36.01,4.36,22.64,13.41,0.27,6.95,13.58,0.8,4.43,4.49,0
14.39,38.34,4.55,21.97,9.65,0.26,7.32,14.75,0.59,2.8,2.47,0
12.58,32.59,4.27,22.18,17.89,0.31,9.52,13.12,0.88,3.02,0.34,0
19.61,51.45,2.81,23.18,13.67,0.3,9.11,15.35,0.69,5.28,3.97,0
19.54,54.49,3.74,22.42,27.32,0.28,9.22,14.36,0.55,2.92,0.55,3
17.69,53.6,4.08,21.69,14.25,0.26,7.41,15.37,0.48,3.01,0.28,0
15.64,44.78,4.72,21.03,12.57,0.32,5.87,15.58,0.44,4.52,0.54,3
17.88,53.74,5.11,20.4,13.38,0.26,6.55,16.66,0.41,4.14,0.29,3
14.41,42.62,9.34,20.64,13.72,0.29,7.06,16.19,0.43,4.26,0.26,3
14.52,43.56,7.62,24.38,13.04,0.27,6.46,17.72,0.46,3.91,0.39,3
18.23,55.98,8.1,22.38,16.11,0.28,6.09,18.44,0.51,4.03,0.41,3
26.09,74.2,5.93,28.86,20.93,0.38,7.2,16.26,0.53,5.19,0.53,3
26.02,84.97,5.11,25.61,25.84,0.32,6.79,17.7,0.73,3.83,0.53,3
19.21,66.84,5.24,25.13,22.86,0.27,6.8,17.22,0.59,3.96,0.72,3
21.88,75.6,4.48,25.54,13.51,0.28,6.2,16.38,0.71,6.64,3.86,3
25.77,76.03,6.01,27.27,14.81,0.36,6.61,13.63,1.23,8.76,2.86,3
30.8,101.48,6.15,28.85,16.33,0.31,7.02,15.42,1.59,10.31,9.83,3
23.43,76.16,5.63,25.39,18.24,0.28,6.63,16.46,0.8,6.36,2.39,3
20.2,55.76,5.68,27.06,13.47,0.31,6.37,16.05,0.78,5.48,1.0,3
26.91,71.45,5.0,23.75,18.49,0.29,7.05,16.55,0.71,3.87,0.44,3
18.92,55.72,4.71,24.24,16.94,0.3,8.15,13.97,0.54,3.37,0.64,3
16.17,46.48,4.84,24.82,23.83,0.28,7.42,13.81,0.55,3.96,0.73,3
18.07,37.67,8.38,27.7,14.77,0.36,5.9,12.64,1.04,13.0,2.69,0
17.09,41.09,6.04,24.89,17.35,0.31,6.07,14.98,0.76,10.03,4.27,0
16.39,29.84,7.35,24.46,16.95,0.28,6.09,11.86,0.65,5.23,0.98,0
11.98,28.35,6.15,18.71,22.8,0.31,6.15,14.52,0.68,3.91,0.37,0
11.66,24.68,5.61,17.79,15.41,0.32,6.65,13.69,0.43,2.71,0.28,0
16.97,46.65,8.16,27.16,13.27,0.31,7.29,10.2,0.84,7.87,4.19,0
22.11,68.81,4.1,17.62,23.04,0.35,10.13,11.99,0.65,3.64,0.54,3
7.78,10.87,3.77,19.87,11.71,0.3,5.69,15.01,0.49,1.88,0.15,0
18.56,46.57,4.25,20.71,11.21,0.3,7.17,18.05,0.39,2.55,0.22,0
15.3,41.14,4.16,17.73,13.6,0.29,8.0,18.6,0.36,2.64,0.21,0
15.28,34.82,11.75,24.8,15.8,0.32,6.84,15.02,0.76,4.1,1.33,0
13.19,31.47,5.97,21.95,17.78,0.27,5.98,14.53,0.5,2.58,0.16,0
10.08,23.02,5.47,19.61,14.88,0.25,6.73,14.24,0.44,1.95,0.1,0
10.33,29.62,6.19,22.71,12.65,0.29,8.08,13.14,0.35,2.27,0.18,0
12.51,38.94,6.62,23.7,16.78,0.29,8.73,11.2,0.62,2.32,0.22,0
14.36,56.52,5.88,24.14,18.06,0.31,8.55,12.62,0.76,3.43,1.41,0
15.34,55.37,7.06,25.68,16.07,0.29,7.55,12.26,0.74,5.4,3.26,3
14.61,45.18,5.98,24.79,18.28,0.27,7.85,11.18,0.53,3.42,1.4,0
15.31,40.27,9.65,27.1,13.22,0.3,7.61,9.29,0.81,3.76,0.73,0
16.51,45.72,6.63,27.6,10.85,0.28,6.97,12.08,3.66,9.47,4.2,0
20.98,64.42,6.11,26.87,12.12,0.29,8.39,15.33,0.87,6.02,1.87,3
24.66,82.96,7.02,26.52,11.46,0.29,8.85,18.68,1.15,11.2,10.26,3
22.43,75.11,6.2,27.25,10.92,0.3,7.13,15.88,1.46,18.24,19.1,3
23.16,71.26,6.01,26.37,10.23,0.31,8.74,15.43,1.49,14.86,10.98,3
18.51,47.92,7.14,25.86,13.55,0.34,6.4,14.04,1.16,11.12,1.95,0
15.84,39.37,7.38,23.73,21.2,0.34,7.13,13.7,0.83,5.4,1.42,0
20.36,66.88,7.58,25.6,14.84,0.31,7.74,13.86,1.35,11.11,9.86,0
27.05,87.39,5.13,26.36,11.1,0.38,8.05,14.3,1.77,14.34,19.46,3
25.36,83.21,4.74,26.76,12.31,0.31,7.84,14.29,1.66,17.85,21.59,3
