PM2.5,PM10,NO,NO2,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI_Bucket
62.74,108.94,6.36,43.14,20.36,0.87,11.48,20.37,0.04,0.04,0.1,1
51.67,70.71,5.29,55.79,17.58,1.28,15.66,20.15,0.06,0.12,0.11,3
54.24,87.78,5.5,56.1,17.76,0.98,27.99,25.38,0.04,0.05,0.1,3
47.81,99.22,5.98,65.34,17.61,1.02,26.84,36.53,0.03,0.08,0.15,1
84.99,137.17,5.14,71.78,12.16,1.39,15.58,47.94,0.07,0.14,0.1,1
63.05,111.15,5.4,68.18,15.31,1.06,13.42,47.46,0.06,0.36,0.11,1
71.09,128.56,29.13,85.01,14.32,1.15,10.68,40.2,0.06,0.1,0.1,1
73.21,129.76,3.04,61.14,15.38,1.11,16.63,62.74,0.08,0.14,0.1,1
81.64,146.56,13.08,83.44,14.61,1.58,12.92,43.18,0.08,0.19,0.1,1
81.71,142.46,15.23,74.7,10.83,1.03,18.7,37.16,0.07,0.09,0.1,1
75.52,125.82,7.69,25.85,10.97,0.74,12.37,32.23,0.05,0.06,0.1,1
65.56,128.56,6.38,23.26,16.81,0.86,16.7,34.16,0.01,0.05,0.14,1
70.86,142.17,3.01,28.42,14.9,0.74,10.43,41.96,0.06,0.1,0.1,1
69.96,130.91,15.49,35.52,16.42,0.84,9.78,37.99,0.05,0.08,0.11,1
60.11,101.22,2.29,22.82,16.94,0.7,6.98,40.95,0.02,0.02,0.1,1
38.35,95.79,18.66,21.18,9.69,0.72,8.3,27.25,0.0,0.04,0.15,3
36.92,106.73,26.53,25.18,10.43,0.64,14.78,30.4,0.0,0.04,0.1,3
43.16,149.98,43.76,28.73,9.94,0.8,9.67,31.72,0.02,0.07,0.11,1
42.51,121.35,18.77,24.64,13.1,0.53,14.5,35.13,0.02,0.05,0.12,1
33.88,80.8,3.59,18.86,14.69,0.51,13.5,30.89,0.0,0.01,0.1,3
20.92,49.94,3.23,13.32,9.1,0.56,15.85,25.36,0.0,0.01,0.1,3
49.2,116.27,2.37,16.7,12.82,0.69,15.37,44.06,0.08,0.18,0.16,1
42.1,87.51,1.68,13.22,13.14,0.57,11.6,44.93,2.25,4.15,0.74,1
16.39,53.9,2.15,8.68,11.34,0.62,10.98,31.2,1.7,4.48,0.42,3
12.88,59.01,2.82,9.92,11.03,0.69,12.43,29.66,1.38,5.33,0.54,3
10.66,47.74,4.02,8.02,9.45,0.35,12.07,22.33,1.05,4.23,0.34,3
12.77,50.79,2.6,8.45,8.86,0.53,14.06,22.67,0.95,3.31,0.29,3
27.0,90.58,5.03,15.67,9.74,0.41,13.33,27.15,1.01,6.81,0.67,3
32.79,104.04,4.4,17.4,11.1,0.4,9.21,31.25,0.86,4.9,0.37,3
39.77,129.33,14.09,24.88,9.4,0.45,8.16,27.19,1.07,9.76,1.02,1
43.78,124.06,6.29,19.29,9.87,0.64,11.35,29.47,1.03,6.87,0.58,1
40.96,101.35,4.18,14.19,10.37,0.46,7.42,22.03,1.46,5.11,0.44,1
40.08,93.9,6.5,14.86,11.63,0.58,7.89,28.04,1.74,9.37,0.68,3
22.52,69.14,7.47,13.59,7.71,0.56,10.99,21.12,1.17,4.07,0.33,1
22.09,53.31,2.18,9.6,6.44,0.68,9.51,29.78,1.87,3.29,0.26,3
25.39,49.43,2.04,7.75,7.63,0.7,9.14,32.42,4.88,2.68,2.27,3
21.71,43.12,1.13,6.24,7.09,0.5,7.63,36.81,1.7,2.82,0.13,3
23.56,53.08,2.86,12.03,5.6,0.53,10.27,29.46,1.18,3.57,0.28,3
23.68,64.65,9.37,14.63,5.75,0.53,8.61,29.24,1.4,4.5,0.38,3
17.99,48.09,2.41,8.02,6.06,0.47,9.11,29.02,1.46,3.2,0.2,3
